rollnumber,firstname,last name,dateof birth,gender,gpa,attendence
131101,Jackson,A,1990-01-23,male,5,62
131102,Joshua,B,1989-04-24,male ,4,68
131103,Joshua,C,1991-02-07,female,5,43
131104,Jamal,D,1989-08-01,male,4,45
131105,Ciaran,E,1990-08-19,male ,3,37
131106,Hammett,F,1990-03-04,female,5,67
131107,Nicholas,G,1990-08-04,male,4,24
131109,Kelly,H,1991-10-16,male ,3,80
131110,Leroy,I,1991-01-08,female,3,58
131112,Lionel,J,1990-06-24,male,3,20
131113,Brian,K,1990-01-23,male ,5,91
131114,Omar,L,1991-08-15,female,5,34
131115,David,M,1991-08-23,male,5,60
131116,Lyle,N,1990-09-26,male ,5,35
131117,Kamal,O,1990-12-04,female,3,15
131118,Ian,P,1991-09-20,male,5,59
131119,Brenden,Q,1989-07-18,male ,4,18
131120,Dillon,R,1990-04-07,female,3,25
131121,Rafael,S,1990-10-28,male,3,72
131123,Tucker,T,1990-05-15,male ,5,74
131124,Jacob,U,1989-07-18,female,3,51
131125,Jared,V,1989-04-07,male,5,28
131126,Matthew,W,1990-10-04,male ,4,69
131127,Hall,X,1989-12-11,female,5,42
131128,Giacomo,Y,1989-02-07,male,5,15
131130,Carl,Z,1990-04-23,male ,5,84
131131,Dieter,A,1989-01-20,female,3,55
131132,Peter,B,1991-10-14,male,5,39
131133,Jasper,C,1990-08-12,male ,4,80
131134,Hiram,D,1991-07-29,female,3,45
131135,Felix,E,1991-07-20,male,5,33
131136,Erasmus,F,1991-02-01,male ,4,73
131137,Lewis,G,1990-02-08,female,4,91
131138,Dean,H,1989-09-21,male,5,51
131141,Ira,I,1991-11-19,male ,3,95
131143,Brandon,J,1989-07-28,female,3,50
131145,Hop,K,1990-03-27,male,4,27
131146,Derek,L,1990-05-22,male ,3,48
131147,Vladimir,M,1989-01-25,female,4,96
131148,Keegan,N,1989-01-19,male,3,30
131153,Alan,O,1989-05-22,male ,3,76
131154,Dylan,P,1990-04-03,female,5,82
131203,Thomas,Q,1991-03-02,male,5,96
131204,Kibo,R,1990-12-16,male ,4,78
131205,Jacob,S,1991-05-29,female,3,31
131206,David,T,1989-10-17,male,3,15
131207,Uriel,U,1990-12-16,male ,3,27
131208,Rigel,V,1990-09-10,female,3,97
131209,Colton,W,1989-09-05,male,4,63
131210,Valentine,X,1990-03-04,male ,5,63
131212,Daquan,Y,1990-02-14,female,4,54
131213,Channing,Z,1990-06-21,male,3,69
131214,Cruz,A,1989-05-26,male ,4,44
131215,Tate,B,1989-06-25,female,5,21
131217,Abbot,C,1989-10-10,male,5,87
131220,Benedict,D,1989-04-10,male ,5,99
131221,Thaddeus,E,1991-10-20,female,4,90
131222,Xavier,F,1991-03-30,male,3,27
131223,Brock,G,1990-10-25,male ,3,48
131225,Trevor,H,1989-07-12,female,4,47
131226,Nathan,I,1989-11-12,male,5,21
131227,Keefe,J,1989-02-14,male ,3,84
131228,Darius,K,1989-01-26,female,4,80
131229,David,L,1991-07-21,male,5,29
131230,Rafael,M,1991-08-15,male ,4,18
131231,Zeph,N,1989-12-18,female,3,78
131232,Jermaine,O,1989-12-13,male,4,40
131234,Maxwell,P,1990-10-19,male ,5,89
131235,Thane,Q,1990-11-03,female,4,24
131237,Devin,R,1990-08-27,male,3,91
131238,Damian,S,1990-03-19,male ,5,96
