rollnumber,firstname,last name,gender,father name,location ,mobile number,Email,experience,graduation,% of marks,ssc marks,intermarks,entrance exam,entrance score,entrance score %,specialization,attendence,cgpa,DOB,address
131101,Jackson,A,male,Violet,ANDHRA,9000716482,Earlene_Douglas@delphia.biz,2,B.Sc.,89,578,974,CAT,438,90,MARKETING,62,5,1/23/1990,670 S 342
131102,Joshua,B,male ,Halee,TELANGANA,9000716483,Maya@ena.ca,5,B.Com,84,348,882,ATMA,455,62,HR,68,4,4/24/1989,73 W Wall St
131103,Joshua,C,female,Grace,UP,9000716484,Vladimir_Daniel@kaitlyn.ca,2,B.E.,52,412,802,MAT,452,74,FINNCE,43,5,2/7/1991,680 W Church St
131104,Jamal,D,male,Cecilia,GUJARAT,9000716485,Dorthy@krystel.info,2,B.Tech.,82,537,742,CAT,512,70,OPERATIONS,45,4,8/1/1989,17 Bus 283
131105,Ciaran,E,male ,Blythe,ORISA,9000716486,Lilly@aurore.info,4,B.Tech.,71,384,791,ATMA,402,65,ANALYTICS,37,3,8/19/1990,112 N Cleveland St
131106,Hammett,F,female,Charde,BANGLORE,9000716487,Orlando@lily.co.uk,0,B.Tech.,83,526,829,MAT,506,84,MARKETING,67,5,3/4/1990,741 Fredericksburg Rd
131107,Nicholas,G,male,Hayfa,BIHAR,9000716488,Martine_Treutel@marianne.name,0,B.C.A.,83,352,838,CAT,482,69,HR,24,4,8/4/1990,81 13th St
131109,Kelly,H,male ,Imani,DELHI,9000716489,Orin_Kozey@bernard.us,3,B.Tech.,82,438,761,ATMA,424,60,FINNCE,80,3,10/16/1991,932 State Hwy 222
131110,Leroy,I,female,Cassady,TAMILNADU,9000716490,Cyrus@laurianne.com,3,B.B.A.,60,442,752,MAT,546,73,OPERATIONS,58,3,1/8/1991,22 Hwy 36
131112,Lionel,J,male,Kerry,KERALA,9000716491,Casimir@timmothy.net,5,B.Sc.,61,514,787,CAT,513,66,ANALYTICS,20,3,6/24/1990,17 Southwest Blvd
131113,Brian,K,male ,Brynne,ASSAM,9000716492,Delpha.Bartell@marjolaine.com,4,B.Tech.,51,560,979,ATMA,580,67,MARKETING,91,5,1/23/1990,978 E 1st St
131114,Omar,L,female,Kelsey,JAIPUR,9000716493,Nasir@bartholome.org,0,B.Tech,57,570,845,MAT,471,82,HR,34,5,8/15/1991,9485 US Hwy 90A W
